Tipo, Título, Data, Relator, Sumário, Processo, Tipo de Processo, Interessado / Responsável / Recorrente, Entidade, Representante do Ministério Público, Unidade Técnica, Representante Legal, Assunto, Endereço do Arquivo
"ACÓRDÃO", "ACÓRDÃO 1274/2018 ATA 20/2018 - PLENÁRIO", "06/06/2018", "WALTON ALENCAR RODRIGUES", "REPRESENTAÇÃO. CONTRATAÇÃO DE SERVIÇOS DE VIGILÂNCIA ARMADA E MOTORIZADA. SUSPENSÃO DA LICITAÇÃO. OITIVA. REGISTRO DE PREÇOS SEM AMPARO LEGAL. AUSÊNCIA DE JUSTIFICATIVA PARA NÃO PARCELAMENTO. VANTAJOSIDADE DA PROPOSTA. PROSSEGUIMENTO DO CERTAME. DETERMINAÇÕES.", "033.132/2017-8", "REPRESENTAÇÃO (REPR)", "3. Interessados/Responsáveis:<br>3.1. Interessado: Interfort (04.008.185/0001-31)<br>3.2. Responsáveis: Margareth de Fatima Formiga Melo Diniz (323.157.164-20); Universidade Federal da Paraíba (24.098.477/0001-10).", " Universidade Federal da Paraíba.", " não atuou.", " Secretaria de Controle Externo no Estado da Paraíba (SECEX-PB).", " Alvaro Figueiredo Maia de Mendonça Junior (14265/OAB-PE); Paulo Márcio Soares Madruga (16.414/OAB-PB) ", "Representação, com pedido de medida cautelar, a respeito de possíveis irregularidades ocorridas em contratação emergencial e em pregão eletrônico para contratar serviços de vigilância armada e motorizada.", "https://contas.tcu.gov.br/sagas/SvlVisualizarRelVotoAc?codFiltro=SAGAS-SESSAO-ENCERRADA&seOcultaPagina=S&item0=624609"
"ACÓRDÃO", "ACÓRDÃO 1223/2018 ATA 19/2018 - PLENÁRIO", "30/05/2018", "WALTON ALENCAR RODRIGUES", "RELATÓRIO DE AUDITORIA NO ÂMBITO DA FOC REALIZADA SOBRE A GOVERNANÇA E GESTÃO DAS AQUISIÇÕES DAS UNIVERSIDADES E INSTITUTOS FEDERAIS. IRREGULARIDADES E IMPROPRIEDADES IDENTIFICADAS NA ENTIDADE AUDITADA. DETERMINAÇÕES. RECOMENDAÇÕES. PLANO DE AÇÃO. CIÊNCIA DAS OCORRÊNCIAS.", "017.214/2017-3", "RELATÓRIO DE AUDITORIA (RA)", "3. Interessados/Responsáveis:<br>3.1. Responsáveis: Joao Marcelo Alves Macedo (030.837.904-73); Margareth de Fatima Formiga Melo Diniz (323.157.164-20).", " Prefeitura Universitária da UFPB - MEC.", " não atuou.", " Secretaria de Controle Externo no Estado da Paraíba (SECEX-PB).", " não há", "Auditoria com objetivo de verificar os mecanismos de gestão de riscos que contribuam para a boa governança e gestão das aquisições públicas.", "https://contas.tcu.gov.br/sagas/SvlVisualizarRelVotoAc?codFiltro=SAGAS-SESSAO-ENCERRADA&seOcultaPagina=S&item0=623357"
"ACÓRDÃO", "ACÓRDÃO 1196/2018 ATA 18/2018 - PLENÁRIO", "23/05/2018", "BRUNO DANTAS", "REPRESENTAÇÃO JULGADA PARCIALMENTE PROCEDENTE. DETERMINAÇÕES. SUCESSIVAS PRORROGAÇÕES DE PRAZO. AUSÊNCIA DE PLENO ATENDIMENTO. FIXAÇÃO DE NOVO PRAZO PARA CUMPRIMENTO DAS DETERMINAÇÕES EXARADAS. ALERTA QUANTO À POSSIBILIDADE DE APLICAÇÃO DE MULTA EM CASO DE REINCIDÊNCIA NO DESCUMPRIMENTO.", "011.172/2015-0", "REPRESENTAÇÃO (REPR)", "3. Responsáveis: Ilma Lins de Souza (405.699.502-87); Ivanilson Otero de Macedo (475.053.032-87); Marco Antônio Toccolini (238.580.521-91).", " Secretaria Especial de Saúde Indígena Alto Rio Negro.", " não atuou.", " Secretaria de Controle Externo no Estado do Amazonas (Secex-AM).", " não há.", "Representação a respeito de possíveis irregularidades ocorridas em pregão eletrônico cujo objeto é a contratação de empresa especializada no fornecimento de mão de obra de piloto fluvial.", "https://contas.tcu.gov.br/sagas/SvlVisualizarRelVotoAc?codFiltro=SAGAS-SESSAO-ENCERRADA&seOcultaPagina=S&item0=624333"
"ACÓRDÃO", "ACÓRDÃO 1097/2018 ATA 17/2018 - PLENÁRIO", "16/05/2018", "AUGUSTO NARDES", "REPRESENTAÇÃO COM PEDIDO DE MEDIDA CAUTELAR. CONCORRÊNCIA PÚBLICA DO EDITAL DE CREDENCIAMENTO 1/2017 CGMP/SAA/SE/MS. CREDENCIAMENTO DE EMPRESAS PARA A IMPLANTAÇÃO DE PRONTUÁRIO ELETRÔNICO NO ÂMBITO DO PROGRAMA DE INFORMATIZAÇÃO DAS UNIDADES BÁSICAS DE SAÚDE (PIUBS). OITIVA PRÉVIA. SISTEMÁTICA DE CREDENCIAMENTO ADOTADA AFRONTA OS PRINCÍPIOS DA IMPESSOALIDADE, DA ISONOMIA, DO JULGAMENTO OBJETIVO E DOS PRINCÍPIOS CONSUBSTANCIADOS NA DOUTRINA E NA JURISPRUDÊNCIA DESTE TRIBUNAL ACERCA DO CREDENCIAMENTO. INSUFICIÊNCIA DOS MECANISMOS PREVISTOS PARA FISCALIZAÇÃO DOS CONTRATOS. EXISTÊNCIA DO FUMUS BONI IURIS E DO PERICULUM IN MORA. AUSÊNCIA DE PERICULUM IN MORA REVERSO. CONCESSÃO DE MEDIDA CAUTELAR. OITIVA DO MINISTÉRIO DA SAÚDE. DETERMINAÇÃO PARA QUE O TRIBUNAL AVALIE A GOVERNANÇA DE TODAS AS CONTRATAÇÕES QUE COMPÕEM OU ESTÃO CORRELACIONADAS COM A IMPLANTAÇÃO DO REGISTRO ELETRÔNICO DE SAÚDE. REFERENDO DO PLENÁRIO.", "003.372/2018-9", "REPRESENTAÇÃO (REPR)", "3. Representante: Secretaria de Fiscalização de Tecnologia da Informação (SEFTI/TCU).", " Ministério da Saúde (MS) (vinculador).", " não atuou.", " Secretaria de Fiscalização de Tecnologia da Informação (SEFTI/TCU).", " não há", "Referendo de cautelar em processo de representação sobre possíveis irregularidades ocorridas no credenciamento de empresas para a implantação de prontuário eletrônico no âmbito do Programa de Informatização das Unidades Básicas de Saúde (PIUBS) em execução pelo Ministério da Saúde (MS).", "https://contas.tcu.gov.br/sagas/SvlVisualizarRelVotoAc?codFiltro=SAGAS-SESSAO-ENCERRADA&seOcultaPagina=S&item0=623980"
"ACÓRDÃO", "ACÓRDÃO 1096/2018 ATA 17/2018 - PLENÁRIO", "16/05/2018", "AUGUSTO NARDES", "REPRESENTAÇÃO. IRREGULARIDADES EM LICITAÇÃO DESTINADA AO FRETAMENTO DE AERONAVES. OITIVAS E DILIGÊNCIAS PRÉVIAS. CARACTERIZAÇÃO DO FUMUS BONI IURIS E DO PERICULUM IN MORA. AUSÊNCIA DO PERICULUM IN MORA REVERSO. CONCESSÃO DA MEDIDA CAUTELAR. REFERENDO. NOVAS OITIVAS E DILIGÊNCIAS. JUSTIFICATIVAS QUE NÃO AFASTAM, EM ESPECIAL, OS RISCOS DE RESTRIÇÃO À COMPETITIVIDADE E SOBREPREÇO, CASO NÃO ADOTADAS MEDIDAS SANEADORAS. DETERMINAÇÃO DE ANULAÇÃO DO CERTAME OU REPUBLICAÇÃO COM AJUSTES. INEXISTÊNCIA DO PERICULUM IN MORA REVERSO. REVOGAÇÃO DA CAUTELAR. EXPEDIÇÃO DE RECOMENDAÇÕES. ARQUIVAMENTO.", "002.093/2018-9", "REPRESENTAÇÃO (REPR)", "3. Representante: Heringer Táxi Aéreo Ltda. (06.933.485/0001-52).", "", " não atuou.", " Secretaria de Controle Externo de Aquisições Logísticas (Selog).", " Aloísio Pedro Heringer (054.769.683-34).", "Representação de empresa, com pedido de cautelar suspensiva, sobre  possíveis irregularidades ocorridas em pregão eletrônico que tinha por objetivo o fretamento de aeronaves, em caráter continuado, sem dedicação exclusiva de mão de obra, destinado ao transporte de equipe multidisciplinar, servidores, enfermos, cargas internas e externas e artigos perigosos.", "https://contas.tcu.gov.br/sagas/SvlVisualizarRelVotoAc?codFiltro=SAGAS-SESSAO-ENCERRADA&seOcultaPagina=S&item0=623564"
"ACÓRDÃO", "ACÓRDÃO 1094/2018 ATA 17/2018 - PLENÁRIO", "16/05/2018", "WALTON ALENCAR RODRIGUES", "RELATÓRIO DE AUDITORIA NO ÂMBITO DA FOC REALIZADA SOBRE A GOVERNANÇA E GESTÃO DAS AQUISIÇÕES DAS UNIVERSIDADES E INSTITUTOS FEDERAIS. IRREGULARIDADES E IMPROPRIEDADES IDENTIFICADAS NA ENTIDADE AUDITADA. DETERMINAÇÕES. RECOMENDAÇÕES. PLANO DE AÇÃO. CIÊNCIA DAS OCORRÊNCIAS.", "020.980/2017-5", "RELATÓRIO DE AUDITORIA (RA)", "3. Interessados/Responsáveis: não há.", " Universidade Federal de Santa Catarina.", " não atuou.", " Secretaria de Controle Externo no Estado de Santa Catarina (SECEX-SC).", " não há", "Auditoria realizada com o objetivo de verificar se as universidades e os institutos federais possuem mecanismos de gestão de riscos que contribuam para a boa governança e gestão das aquisições.", "https://contas.tcu.gov.br/sagas/SvlVisualizarRelVotoAc?codFiltro=SAGAS-SESSAO-ENCERRADA&seOcultaPagina=S&item0=622227"
"ACÓRDÃO", "ACÓRDÃO 719/2018 ATA 11/2018 - PLENÁRIO", "04/04/2018", "BRUNO DANTAS", "CONSULTA. ACORDOS E CONVENÇÕES COLETIVAS DE TRABALHO NOS CONTRATOS DE EXECUÇÃO DE OBRAS E SERVIÇOS DE ENGENHARIA. OBSERVÂNCIA OBRIGATÓRIA EM FUNÇÃO DA CONSTITUIÇÃO E DA CLT. ORIENTAÇÕES ADICIONAIS. RESPOSTA AO CONSULENTE.", "012.584/2017-7", "CONSULTA (CONS)", "3. Consulente: Presidente da Comissão de Trabalho, de Administração e Serviço Público da Câmara dos Deputados.", " Câmara dos Deputados.", " não atuou.", " Secretaria de Fiscalização de Infraestrutura Urbana (SeinfraUrb).", " não há.", "Consulta sobre a existência de determinação legal que obrigue os participantes de licitações para a execução de obras públicas e serviços de engenharia a levar em consideração, na formulação de suas propostas, as despesas decorrentes do cumprimento de acordos e convenções coletivas de trabalho.", "https://contas.tcu.gov.br/sagas/SvlVisualizarRelVotoAc?codFiltro=SAGAS-SESSAO-ENCERRADA&seOcultaPagina=S&item0=600846"
"ACÓRDÃO", "ACÓRDÃO 671/2018 ATA 10/2018 - PLENÁRIO", "28/03/2018", "AROLDO CEDRAZ", "PEDIDO DE REEXAME. REPRESENTAÇÃO DA SECRETARIA DE CONTROLE EXTERNO DE AQUISIÇÕES LOGÍSTICAS DO TCU (SELOG). NÃO REVISÃO DE PREÇOS NOS CONTRATOS FIRMADOS PELA ADMINISTRAÇÃO PÚBLICA FEDERAL COM EMPRESAS BENEFICIADAS PELO PLANO BRASIL MAIOR, EM FACE DA DESONERAÇÃO DA FOLHA DE PAGAMENTO (POR MEIO DA MUDANÇA DA BASE DE CÁLCULO PARA A CONTRIBUIÇÃO PREVIDENCIÁRIA). DETERMINAÇÕES PARA A REVISÃO DOS CONTRATOS DE PRESTAÇÃO DE SERVIÇOS AINDA VIGENTES E PARA O RESSARCIMENTO DOS VALORES PAGOS A MAIOR, EM RELAÇÃO ÀS AVENÇAS JÁ ENCERRADAS. PEDIDO DE REEXAME. CONHECIMENTO. ARGUMENTOS DESPROVIDOS DE FUNDAMENTOS PARA DESCONSTITUIR A DECISÃO RECORRIDA. NÃO PROVIMENTO. CIÊNCIA AOS INTERESSADOS", "013.515/2013-6", "REPRESENTAÇÃO (REPR)", "3. Interessados/Responsáveis/Recorrentes:<br>3.1. Interessados: Abes - Associação Brasileira das Empresas de Software (CNPJ 57.004.897/0001-49); Assespro (CNPJ 42.581.264/0001-26); Brasscom - Associação Brasileira de Empresas de Tecnologia da Informação e Comunicação (CNPJ 06.244.855/0001-44); Ministério do Desenvolvimento Social.<br>3.2. Responsáveis: Não há.<br>3.3. Recorrentes: Brasscom - Associação Brasileira de Empresas de Tecnologia da Informação e Comunicação (CNPJ 06.244.855/0001-44); Assespro (CNPJ 42.581.264/0001-26); Abes - Associação Brasileira das Empresas de Software (CNPJ 57.004.897/0001-49).", " Departamento de Coordenação e Governança das Empresas Estatais; Secretaria de Logística e Tecnologia da Informação do Ministério do Planejamento, Orçamento e Gestão; Conselho Nacional de Justiça; Conselho Nacional do Ministério Público; Diretoria-Geral do Senado Federal; Diretoria-Geral da Câmara dos Deputados; e Secretaria-Geral de Administração do Tribunal de Contas da União.", " Procurador Marinus Eduardo De Vries Marsico.", " Secretaria de Recursos (Serur) e Secretaria de Controle Externo de Aquisições Logísticas (Selog).", "8.1. Tiago Gomes de Souza e outros, representando Companhia Brasileira de Trens Urbanos;<br>8.2. Luiz Cássio dos Santos Werneck Netto (203.945/OAB-SP) e outros, representando Tivit Terceirização de Processos, Serviços e Tecnologia S.A.  <br>8.3. Mario Renato Balardim Borges (50.627/OAB-RS), representando Banco do Brasil S.A.  <br>8.4. Márcia Uchôa de Oliveira da Rocha e outros, representando Empresa Brasileira de Infraestrutura Aeroportuária; <br>8.5. Juliano Ricardo de Vasconcellos Costa Couto (13.802/OAB-DF) e outros, representando Brasscom - Associação Brasileira de Empresas de Tecnologia da Informação e Comunicação; Abes - Associação Brasileira das Empresas de Software; Assespro e Brasscom - Associação Brasileira de Empresas de Tecnologia da Informação e Comunicação;  <br>8.6. Eduardo Han (11714/OAB-DF) e outros, representando Poliedro Informática, Consultoria e Serviços Ltda..  <br>8.7. Célia Maria Rufino de Sousa e outros, representando Banco do Nordeste do Brasil S.A.;  <br>8.8. Kátlei Magáli Kussler (OAB-RS 48117/) e outros, representando Serviço Federal de Processamento de Dados;<br>8.9. Cristiano Kinchescki (OAB-DF 34951) e outros, representando Banco do Brasil S.A.;<br>8.10. Marcia Cristina Romano Santo (OAB-SP 200678) e outros, representando Indra Brasil Soluções e Serviços Tecnológicos S.A. ", "Pedido de Reexame interposto contra o acórdão que julgou procedente representação sobre possível irregularidade em diversos contratos no âmbito da Administração Pública Federal, decorrente da não revisão dos preços praticados pelas empresas beneficiadas pelo Plano Brasil Maior (PBM).", "https://contas.tcu.gov.br/sagas/SvlVisualizarRelVotoAc?codFiltro=SAGAS-SESSAO-ENCERRADA&seOcultaPagina=S&item0=603466"
"ACÓRDÃO", "ACÓRDÃO 606/2018 ATA 9/2018 - PLENÁRIO", "21/03/2018", "AUGUSTO NARDES", "REPRESENTAÇÃO. POSSÍVEIS IRREGULARIDADES EM PROCEDIMENTO LICITATÓRIO DESTINADO AO FRETAMENTO DE AERONAVES. ALEGAÇÃO DE EXIGÊNCIA DE CERTIFICADO DE OPERADOR AÉREO E ATESTADOS DE CAPACIDADE TÉCNICA QUE SUPOSTAMENTE CONTRARIARIAM A LEI DE LICITAÇÕES E PREJUDICARIAM A COMPETITIVIDADE. QUESTIONAMENTOS QUANTO AO ORÇAMENTO ESTIMATIVO DO CERTAME. POSSÍVEL INCOMPETÊNCIA TÉCNICA DO RESPONSÁVEL PELA ELABORAÇÃO DO TERMO DE REFERÊNCIA. EVENTUAL AFRONTA AO PRINCÍPIO DA IMPESSOALIDADE NA ELABORAÇÃO DO EDITAL. REALIZAÇÃO PRÉVIA DE OITIVAS E DILIGÊNCIAS. ESCLARECIMENTOS INSUFICIENTES PARA DESCARACTERIZAR AS IRREGULARIDADES APONTADAS NO DESPACHO ORIGINAL. EXISTÊNCIA DE ELEMENTOS SUFICIENTES À CARACTERIZAÇÃO DO FUMUS BONI IURIS E DO PERICULUM IN MORA. AUSÊNCIA DO PERICULUM IN MORA REVERSO. CONVENIÊNCIA DA CONCESSÃO DA MEDIDA CAUTELAR. CIÊNCIA À REPRESENTANTE. REFERENDO DO PLENÁRIO.", "002.093/2018-9", "REPRESENTAÇÃO (REPR)", "3. Representante: Heringer Táxi Aéreo Ltda. (06.933.485/0001-52).", "", " não atuou.", " Secretaria de Controle Externo de Aquisições Logísticas (Selog).", " Aloísio Pedro Heringer (054.769.683-34).", "Referendo de cautelar em processo de representação sobre possíveis irregularidades ocorridas em pregão eletrônico que objetiva o fretamento de aeronaves, em caráter continuado, sem dedicação exclusiva de mão de obra, destinado ao transporte de equipe multidisciplinar, servidores, enfermos, cargas internas e externas e artigos perigosos.", "https://contas.tcu.gov.br/sagas/SvlVisualizarRelVotoAc?codFiltro=SAGAS-SESSAO-ENCERRADA&seOcultaPagina=S&item0=616292"
"ACÓRDÃO", "ACÓRDÃO 605/2018 ATA 9/2018 - PLENÁRIO", "21/03/2018", "AUGUSTO NARDES", "REPRESENTAÇÃO. INDÍCIOS DE IRREGULARIDADES NOS PREGÕES ELETRÔNICOS SRP 35/2017 E SRP 36/2017, DESTINADOS A SOLUÇÕES DE REGISTRO ELETRÔNICO DE SAÚDE (RES) COM O BARRAMENTO DE SERVIÇOS DE SAÚDE. UTILIZAÇÃO DO PADRÃO OPENEHR, ATENDIDO POR UMA ÚNICA LICITANTE. POSSÍVEL DIRECIONAMENTO E OCORRÊNCIA DE SOBREPREÇO. EXISTÊNCIA DO FUMUS BONI IURIS E DO PERICULUM IN MORA. AUSÊNCIA DE PERICULUM IN MORA INVERSO. CONVENIÊNCIA DA CONCESSÃO DE MEDIDA CAUTELAR, INAUDITA ALTERA PARS. AUTORIZAÇÃO DE DILIGÊNCIAS E OITIVAS. INDEFERIMENTO DO PEDIDO DE INGRESSO DA REPRESENTANTE COMO PARTE INTERESSADA. REFERENDO DO PLENÁRIO. AGRAVO. CONHECIMENTO. NEGATIVA DE PROVIMENTO.", "000.321/2018-4", "REPRESENTAÇÃO (REPR)", "3. Recorrente: Ministério da Saúde.", " Ministério da Saúde (vinculador).", " não atuou.", " Secretaria de Fiscalização de Tecnologia da Informação (Sefti).", " José Luiz Bueno Barbosa (peça 1).", "Agravo contra despacho do Presidente do TCU, referendado por acórdão, que concedeu medida cautelar que determinou a suspensão de Pregões Eletrônicos, bem como a execução de contratos  deles decorrentes no âmbito do Ministério da Saúde.", "https://contas.tcu.gov.br/sagas/SvlVisualizarRelVotoAc?codFiltro=SAGAS-SESSAO-ENCERRADA&seOcultaPagina=S&item0=616599"
"ACÓRDÃO", "ACÓRDÃO 224/2018 ATA 4/2018 - PLENÁRIO", "07/02/2018", "AUGUSTO SHERMAN", "RELATÓRIO DE AUDITORIA. FISCALIZAÇÃO DE ORIENTAÇÃO CENTRALIZADA. VERIFICAÇÃO DA CONFORMIDADE DE CONTRATAÇÕES PÚBLICAS. UTILIZAÇÃO DE MODELO PROBABILÍSTICO DE ANÁLISE DE DADOS PARA SELEÇÃO DA UNIDADE AUDITADA. CONTRATAÇÃO DIRETA EMERGENCIAL. EXTRAPOLAÇÃO DA EXECUÇÃO ALÉM DOS CENTO E OITENTA DIAS. SERVIÇOS PRESTADOS SEM COBERTURA CONTRATUAL DURANTE OS CINCO ANOS SEGUINTES. PAGAMENTO DAS DESPESAS A TÍTULO DE RECONHECIMENTO DE DÍVIDA. AUSÊNCIA TEMPESTIVA DE PROVIDÊNCIAS EFETIVAS NECESSÁRIAS À REALIZAÇÃO DA NOVA LICITAÇÃO. AUDIÊNCIAS DOS DIVERSOS AGENTES ENVOLVIDOS. ACOLHIMENTO INTEGRAL OU PARCIAL DE RAZÕES DE JUSTIFICATIVA DE ALGUNS RESPONSÁVEIS. DIFICULDADES ESTRUTUAIS RELATIVAS A PESSOAL NO ÓRGÃO AUDITADO. REJEIÇÃO DAS JUSTIFICATIVAS APRESENTADAS PELOS DIRIGENTES MÁXIMOS. CIRCUNSTÂNCIAS ATENUANTES CONSIDERADAS NA DOSIMETRIA DA SAÇÃO. MULTA. CIÊNCIA DAS IRREGULARIDADES ENCONTRADAS.", "031.652/2015-8", "RELATÓRIO DE AUDITORIA (RA)", "3. Interessados/Responsáveis:<br>3.1. Interessado: Power - Segurança e Vigilância Ltda. (54.506.589/0001-23)<br>3.2. Responsáveis: Aloisio Batista do Nascimento (060.495.748-39); Atílio Machado Peppe (427.489.258-15); Carlos Frederico Zimmermann Neto (438.181.539-49); Fernanda Regina Delena Dal Colletto (252.496.158-30); José Roberto de Melo (190.229.568-49); Juliana Lopes dos Santos (294.945.588-39); Liria Izumi Hirano Hasegawa (050.390.308-60); Luiz Antonio de Medeiros Neto (028.411.168-67); Makoto Sato (711.696.798-20); Robson Batista Cipriano (874.302.408-44).", " Superintendência Regional do Trabalho e Emprego no Estado de São Paulo.", " não atuou.", " Secretaria de Controle Externo no Estado de São Paulo (SECEX-SP).", "  <br>8.1. Lucas Brandão Borges Caiado (373.798/OAB-SP), representando Power - Segurança e Vigilância Ltda.  <br>8.2. Ruben Antonio Machado Vieira Mariz (28389/OAB-DF) e outros, representando Luiz Antonio de Medeiros Neto.  <br>8.3. Erasmo de Camargo Schützer (8785/OAB-SP) e outros, representando Carlos Frederico Zimmermann Neto. ", "Auditoria com o objetivo de verificar a regularidade das licitações e contratações para prestação de serviços de vigilância, conservação e limpeza, entre os exercícios de 2011 e 2015.", "https://contas.tcu.gov.br/sagas/SvlVisualizarRelVotoAc?codFiltro=SAGAS-SESSAO-ENCERRADA&seOcultaPagina=S&item0=610793"
"ACÓRDÃO", "ACÓRDÃO 205/2018 ATA 4/2018 - PLENÁRIO", "07/02/2018", "AROLDO CEDRAZ", "CONSULTA. DEFENSORIA PÚBLICA DA UNIÃO. CONHECIMENTO. Imposto de Renda de Pessoa Jurídica (IRPJ), Contribuição Social sobre o Lucro Líquido (CSLL) e reserva técnica. INCLUSÃO NAS planilhas de custo e de formação de preços em contratações da Administração. Acórdão 950/2007 - PLENÁRIO. Verificação quanto À necessidade de ajustes e de cobrança das quantias pagas. RESPOSTA AO CONSULENTE. ARQUIVAMENTO.", "010.408/2011-8", "CONSULTA (CONS)", "3. Interessada: Defensoria Pública da União (DPU).", " Defensoria Pública da União (DPU).", " Subprocuradora-Geral Cristina Machado da Costa e Silva.", " Secretaria de Controle Externo de Aquisições Logísticas (Selog).", " não há. ", "Consulta acerca da inclusão do Imposto de Renda Pessoa Jurídica (IRPJ) e da Contribuição Social sobre o Lucro Líquido (CSLL) nas planilhas de custo e de formação de preços em contratações da Administração, mais especificamente em relação aos ajustes firmados anteriormente à prolação do paradigmático Acórdão 950/2007-TCU-Plenário.", "https://contas.tcu.gov.br/sagas/SvlVisualizarRelVotoAc?codFiltro=SAGAS-SESSAO-ENCERRADA&seOcultaPagina=S&item0=610495"
"ACÓRDÃO", "ACÓRDÃO 31/2018 ATA 1/2018 - PLENÁRIO", "17/01/2018", "AUGUSTO NARDES", "REPRESENTAÇÃO. INDÍCIOS DE IRREGULARIDADES NOS PREGÕES ELETRÔNICOS SRP 35/2017 E SRP 36/2017, DESTINADOS A SOLUÇÕES DE REGISTRO ELETRÔNICO DE SAÚDE COM O BARRAMENTO DE SERVIÇOS DE SAÚDE. UTILIZAÇÃO DO PADRÃO OPENEHR, ATENDIDO POR UMA ÚNICA LICITANTE. POSSÍVEL DIRECIONAMENTO E OCORRÊNCIA DE SOBREPREÇO. EXISTÊNCIA DO FUMUS BONI IURIS E DO PERICULUM IN MORA. AUSÊNCIA DE PERICULUM IN MORA INVERSO. CONVENIÊNCIA DA CONCESSÃO DE MEDIDA CAUTELAR, INAUDITA ALTERA PARS. AUTORIZAÇÃO DE DILIGÊNCIAS E OITIVAS. INDEFERIMENTO DO PEDIDO DE INGRESSO DA REPRESENTANTE COMO PARTE INTERESSADA. REFERENDO DO PLENÁRIO.", "000.321/2018-4", "REPRESENTAÇÃO (REPR)", "3. Representante: Afluir Negócios e Tecnologias em Informática Eirelli-EPP (CNPJ 06.264.574/0001-53).", " Ministério da Saúde (MS).", " não atuou.", " Secretaria de Fiscalização de Tecnologia da Informação (Sefti/TCU).", " José Luiz Bueno Barbosa (peça 1, fl.1).", "Representação de empresa, com pedido de medida cautelar, sobre possíveis irregularidades relacionadas a indícios de direcionamento para soluções de Registro Eletrônico de Saúde utilizando o padrão OpenEHR, em editais de Pregões Eletrônicos.", "https://contas.tcu.gov.br/sagas/SvlVisualizarRelVotoAc?codFiltro=SAGAS-SESSAO-ENCERRADA&seOcultaPagina=S&item0=610658"
"ACÓRDÃO", "ACÓRDÃO 2872/2017 ATA 51/2017 - PLENÁRIO", "12/12/2017", "BRUNO DANTAS", "REPRESENTAÇÃO. LOCAÇÃO DE IMÓVEL. MINISTÉRIO DOS TRANSPORTES, PORTOS E AVIAÇÃO CIVIL. SUBSTITUIÇÃO DE IMÓVEL APÓS REALIZAÇÃO DE CHAMAMENTO PÚBLICO PARA SELEÇÃO DA MELHOR PROPOSTA. INCLUSÃO NA TAXA CONDOMINIAL DE SERVIÇOS ACESSÓRIOS NÃO PREVISTOS NO EDITAL. SUSPENSÃO CAUTELAR DO CONTRATO. OITIVAS. ALTERAÇÕES ESTRUTURAIS NO ÓRGÃO DECORRENTES DA REFORMA MINISTERIAL. INVIABILIDADE DO EDIFÍCIO INICIALMENTE SELECIONADO. SUBSTITUIÇÃO DO IMÓVEL. DEMONSTRAÇÃO DA ECONOMICIDADE DA LOCAÇÃO E DA INCLUSÃO DOS SERVIÇOS ACESSÓRIOS NA TAXA CONDOMINIAL. CONHECIMENTO. REVOGAÇÃO DA MEDIDA CAUTELAR. PROCEDÊNCIA PARCIAL. CIÊNCIA. CONSIDERAR PREJUDICADO POR PERDA DE OBJETO AGRAVO INTERPOSTO CONTRA PROPOSTA DE INSPEÇÃO. ARQUIVAMENTO.", "006.593/2017-8", "REPRESENTAÇÃO (REPR)", "3. Recorrente: Itália Participações S.A. (12.625.971/0001-06).", " Secretaria -Executiva do Ministério dos Transportes, Portos e Aviação Civil.", " não atuou.", " Secretaria de Controle Externo de Aquisições Logísticas (Selog).", "  <br>8.1. Marcus Vinicius Furtado Coêlho (18958/OAB-DF) e outros, representando Itália Participações S.A. ", "Representação relacionada à locação de imóvel com  a finalidade de abrigar a Secretaria de Portos ligada à Presidência da República (SEP/PR). Análise de oitivas e de outras informações obtidas em inspeção.", "https://contas.tcu.gov.br/sagas/SvlVisualizarRelVotoAc?codFiltro=SAGAS-SESSAO-ENCERRADA&seOcultaPagina=S&item0=609751"
"ACÓRDÃO", "ACÓRDÃO 9678/2017 ATA 42/2017 - SEGUNDA CÂMARA", "14/11/2017", "ANA ARRAES", "REPRESENTAÇÃO. PREGÃO ELETRÔNICO. HOSPITAL UNIVERSITÁRIO. CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE ALIMENTAÇÃO HOSPITALAR. CONHECIMENTO. PROCEDÊNCIA. MULTA. DETERMINAÇÃO PARA NÃO PRORROGAÇÃO DO CONTRATO.", "013.792/2016-4", "REPRESENTAÇÃO (REPR)", "3. Responsáveis: Joyce Santos Lages (CPF 678.455.333-00) e Perla Lucilia Silva Rocha (CPF 038.923.903-80).<br>3.1. Representante: Cial Comércio e Indústria de Alimentos Ltda.", " Fundação Universidade Federal do Maranhão.", " não atuou.", " Secretaria de Controle Externo no Estado do Ceará - Secex/CE.", " Cristiana Maria Fortini Pinto e Silva (OAB/MG 65.573) e outros representando Cook Empreendimentos em Alimentação Coletiva Ltda.", "Representação quanto a possíveis irregularidades em pregão eletrônico para contratação de empresa especializada para prestação de serviços de nutrição e alimentação hospitalar.", "https://contas.tcu.gov.br/sagas/SvlVisualizarRelVotoAc?codFiltro=SAGAS-SESSAO-ENCERRADA&seOcultaPagina=S&item0=600413"
